m,dm,brct,nEvents,matchEff,filterEff,qcut,wgt,ave_filter_eff,ave_match_eff
800.0,25.0,1.0,150.0,0.237,0.3119,-1.0,11.088045,46.785000000000004,35.55
825.0,25.0,0.3,150.0,0.237,0.3037,-1.0,10.796535,45.55500000000001,35.55
825.0,25.0,1.0,150.0,0.237,0.3194,-1.0,11.35467,47.910000000000004,35.55
850.0,25.0,0.3,150.0,0.237,0.3381,-1.0,12.019454999999999,50.715,35.55
850.0,25.0,1.0,150.0,0.237,0.3238,-1.0,11.511089999999998,48.56999999999999,35.55
875.0,25.0,0.3,150.0,0.237,0.3198,-1.0,11.368889999999999,47.97,35.55
875.0,25.0,1.0,150.0,0.237,0.3227,-1.0,11.471984999999998,48.405,35.55
900.0,25.0,0.3,150.0,0.237,0.3282,-1.0,11.667509999999998,49.23,35.55
900.0,25.0,1.0,150.0,0.237,0.3247,-1.0,11.543084999999998,48.705,35.55
925.0,25.0,0.3,150.0,0.237,0.3274,-1.0,11.63907,49.11000000000001,35.55
925.0,25.0,1.0,150.0,0.237,0.3419,-1.0,12.154544999999999,51.285,35.55
950.0,25.0,0.3,150.0,0.237,0.3392,-1.0,12.05856,50.88,35.55
950.0,25.0,1.0,150.0,0.237,0.3308,-1.0,11.759939999999999,49.62,35.55
975.0,25.0,0.3,150.0,0.237,0.3268,-1.0,11.617739999999998,49.019999999999996,35.55
975.0,25.0,1.0,150.0,0.237,0.3199,-1.0,11.372444999999999,47.985,35.55
1000.0,25.0,0.3,150.0,0.237,0.3372,-1.0,11.987459999999999,50.58,35.55
1000.0,25.0,1.0,150.0,0.237,0.3413,-1.0,12.133214999999998,51.195,35.55
1025.0,25.0,0.3,150.0,0.237,0.3272,-1.0,11.63196,49.08,35.55
1025.0,25.0,1.0,150.0,0.237,0.3258,-1.0,11.582189999999999,48.87,35.55
1050.0,25.0,0.3,150.0,0.237,0.3366,-1.0,11.96613,50.49,35.55
1050.0,25.0,1.0,150.0,0.237,0.3518,-1.0,12.50649,52.77,35.55
1075.0,25.0,0.3,150.0,0.237,0.3487,-1.0,12.396284999999999,52.305,35.55
1075.0,25.0,1.0,150.0,0.237,0.3526,-1.0,12.53493,52.89,35.55
1100.0,25.0,0.3,150.0,0.237,0.3475,-1.0,12.353624999999997,52.12499999999999,35.55
1100.0,25.0,1.0,150.0,0.237,0.3478,-1.0,12.364289999999999,52.17,35.55
250.0,30.0,0.3,150.0,0.361,0.1519,-1.0,8.225385000000001,22.785,54.15
250.0,30.0,1.0,150.0,0.361,0.1517,-1.0,8.214555,22.755,54.15
275.0,30.0,0.3,150.0,0.361,0.1759,-1.0,9.524985,26.385,54.15
275.0,30.0,1.0,150.0,0.361,0.1709,-1.0,9.254235,25.634999999999998,54.15
300.0,30.0,0.3,150.0,0.302,0.1777,-1.0,8.049809999999999,26.655,45.3
300.0,30.0,1.0,150.0,0.302,0.18,-1.0,8.154,27.0,45.3
325.0,30.0,0.3,150.0,0.302,0.1941,-1.0,8.792729999999999,29.115,45.3
325.0,30.0,1.0,150.0,0.302,0.1915,-1.0,8.674949999999999,28.725,45.3
350.0,30.0,0.3,150.0,0.302,0.2048,-1.0,9.27744,30.720000000000002,45.3
350.0,30.0,1.0,150.0,0.302,0.2096,-1.0,9.49488,31.44,45.3
375.0,30.0,0.3,150.0,0.302,0.2167,-1.0,9.81651,32.505,45.3
375.0,30.0,1.0,150.0,0.302,0.2122,-1.0,9.61266,31.83,45.3
400.0,30.0,0.3,150.0,0.275,0.216,-1.0,8.91,32.4,41.25
400.0,30.0,1.0,150.0,0.275,0.2207,-1.0,9.103875,33.105000000000004,41.25
425.0,30.0,0.3,150.0,0.275,0.2449,-1.0,10.102125000000001,36.735,41.25
425.0,30.0,1.0,150.0,0.275,0.2319,-1.0,9.565875,34.785,41.25
450.0,30.0,0.3,150.0,0.275,0.2307,-1.0,9.516375,34.605,41.25
450.0,30.0,1.0,150.0,0.275,0.2507,-1.0,10.341375,37.605,41.25
475.0,30.0,0.3,150.0,0.275,0.2398,-1.0,9.89175,35.97,41.25
475.0,30.0,1.0,150.0,0.275,0.2475,-1.0,10.209375,37.125,41.25
500.0,30.0,0.3,150.0,0.254,0.2556,-1.0,9.73836,38.339999999999996,38.1
500.0,30.0,1.0,150.0,0.254,0.2588,-1.0,9.86028,38.81999999999999,38.1
525.0,30.0,0.3,150.0,0.254,0.2541,-1.0,9.68121,38.115,38.1
525.0,30.0,1.0,150.0,0.254,0.2641,-1.0,10.06221,39.615,38.1
